year,crime_rate,State
1973.0,9309.0,Washington
1973.0,2219.0,West Virginia
1973.0,5273.0,Wisconsin
1973.0,762.9999999999999,Wyoming
1974.0,13338.0,Alabama
1974.0,1527.0,Alaska
1974.0,12202.0,Arizona
1974.0,6521.0,Arkansas
1974.0,127658.0,California
1974.0,10728.0,Colorado
1974.0,7045.0,Connecticut
1974.0,2539.0,Delaware
1974.0,11590.0,District of Columbia
1974.0,54821.0,Florida
1974.0,21587.0,Georgia
1974.0,1762.0,Hawaii
1974.0,1465.0,Idaho
1974.0,69806.0,Illinois
1974.0,15631.000000000002,Indiana
1974.0,3455.0,Iowa
1974.0,6272.0,Kansas
1974.0,7857.0,Kentucky
1974.0,17794.0,Louisiana
1974.0,1440.0,Maine
1974.0,29439.0,Maryland
1974.0,22545.0,Massachusetts
1974.0,59993.0,Michigan
1974.0,8119.0,Minnesota
1974.0,7782.0,Mississippi
1974.0,21611.999999999996,Missouri
1974.0,1194.0,Montana
1974.0,3697.0,Nebraska
1974.0,3910.0,Nevada
1974.0,739.0,New Hampshire
1974.0,29568.0,New Jersey
1974.0,5053.0,New Mexico
1974.0,145427.0,New York
1974.0,26220.0,North Carolina
1974.0,319.0,North Dakota
1974.0,39094.0,Ohio
1974.0,7588.0,Oklahoma
1974.0,8326.0,Oregon
1974.0,37281.0,Pennsylvania
1974.0,2651.0,Rhode Island
1974.0,12688.0,South Carolina
1974.0,1234.0,South Dakota
1974.0,15969.0,Tennessee
1974.0,47008.0,Texas
1974.0,2517.0,Utah
1974.0,353.0,Vermont
1974.0,17514.0,Virginia
1974.0,12035.999999999998,Washington
1974.0,2460.0,West Virginia
1974.0,6411.0,Wisconsin
1974.0,519.0,Wyoming
1975.0,14201.0,Alabama
1975.0,1900.0,Alaska
1975.0,12184.000000000002,Arizona
1975.0,7369.0,Arkansas
1975.0,138842.0,California
1975.0,11735.0,Colorado
1975.0,8308.0,Connecticut
1975.0,2270.0,Delaware
1975.0,12704.0,District of Columbia
1975.0,57540.0,Florida
1975.0,22608.0,Georgia
1975.0,1889.0,Hawaii
1975.0,1670.0,Idaho
1975.0,74699.0,Illinois
1975.0,17677.0,Indiana
1975.0,4039.0,Iowa
1975.0,6307.0,Kansas
1975.0,8967.0,Kentucky
1975.0,18137.0,Louisiana
1975.0,2324.0,Maine
1975.0,29087.0,Maryland
1975.0,25793.000000000004,Massachusetts
1975.0,62792.0,Michigan
1975.0,8125.0,Minnesota
1975.0,7411.0,Mississippi
1975.0,23520.999999999996,Missouri
1975.0,1418.0,Montana
1975.0,3986.0,Nebraska
1975.0,4018.0,Nevada
1975.0,816.0,New Hampshire
1975.0,30215.0,New Jersey
1975.0,6134.0,New Mexico
1975.0,155187.0,New York
1975.0,23791.0,North Carolina
1975.0,337.0,North Dakota
1975.0,43901.0,Ohio
1975.0,8225.0,Oklahoma
1975.0,10034.0,Oregon
1975.0,38933.0,Pennsylvania
1975.0,2801.9999999999995,Rhode Island
1975.0,14412.0,South Carolina
